Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
195.1.95.64     195.1.92.1      255.255.255.192 UG    60     0        0 eth0
195.1.95.236    195.1.92.1      255.255.255.252 UG    50     0        0 eth0
195.1.95.232    195.1.92.1      255.255.255.252 UG    50     0        0 eth0
195.1.95.228    0.0.0.0         255.255.255.252 U     0      0        0 eth2
195.1.95.224    0.0.0.0         255.255.255.252 U     0      0        0 eth1
195.1.95.220    195.1.92.1      255.255.255.252 UG    60     0        0 eth0
195.1.95.216    195.1.92.1      255.255.255.252 UG    60     0        0 eth0
195.1.95.212    195.1.92.1      255.255.255.252 UG    60     0        0 eth0
195.1.95.208    195.1.92.1      255.255.255.252 UG    60     0        0 eth0
195.1.95.204    195.1.92.1      255.255.255.252 UG    70     0        0 eth0
195.1.95.200    195.1.92.1      255.255.255.252 UG    70     0        0 eth0
195.1.95.196    195.1.92.1      255.255.255.252 UG    70     0        0 eth0
195.1.95.192    195.1.92.1      255.255.255.252 UG    70     0        0 eth0
195.1.95.180    195.1.92.1      255.255.255.252 UG    30     0        0 eth0
195.1.95.176    195.1.92.1      255.255.255.252 UG    20     0        0 eth0
195.1.95.172    195.1.92.1      255.255.255.252 UG    40     0        0 eth0
195.1.95.168    195.1.92.1      255.255.255.252 UG    40     0        0 eth0
195.1.95.164    195.1.92.1      255.255.255.252 UG    50     0        0 eth0
195.1.95.160    195.1.92.1      255.255.255.252 UG    50     0        0 eth0
195.1.95.140    195.1.92.1      255.255.255.252 UG    30     0        0 eth0
195.1.95.136    195.1.92.1      255.255.255.252 UG    30     0        0 eth0
195.1.95.132    195.1.92.1      255.255.255.252 UG    40     0        0 eth0
195.1.95.128    195.1.92.1      255.255.255.252 UG    40     0        0 eth0
195.1.95.0      195.1.92.1      255.255.255.192 UG    60     0        0 eth0
195.1.94.0      195.1.92.1      255.255.255.192 UG    40     0        0 eth0
195.1.93.64     195.1.95.230    255.255.255.192 UG    20     0        0 eth2
195.1.93.0      195.1.95.226    255.255.255.192 UG    20     0        0 eth1
195.1.92.0      0.0.0.0         255.255.255.192 U     0      0        0 eth0
195.1.91.64     195.1.92.1      255.255.255.192 UG    70     0        0 eth0
195.1.91.0      195.1.92.1      255.255.255.192 UG    70     0        0 eth0
195.1.90.0      195.1.92.1      255.255.255.192 UG    50     0        0 eth0
195.1.89.64     195.1.92.1      255.255.255.192 UG    70     0        0 eth0
195.1.89.0      195.1.92.1      255.255.255.192 UG    70     0        0 eth0
195.1.88.0      195.1.92.1      255.255.255.192 UG    50     0        0 eth0
195.1.87.64     195.1.92.1      255.255.255.192 UG    80     0        0 eth0
195.1.87.0      195.1.92.1      255.255.255.192 UG    80     0        0 eth0
195.1.86.0      195.1.92.1      255.255.255.192 UG    60     0        0 eth0
195.1.85.64     195.1.92.1      255.255.255.192 UG    80     0        0 eth0
195.1.85.0      195.1.92.1      255.255.255.192 UG    80     0        0 eth0
195.1.84.0      195.1.92.1      255.255.255.192 UG    60     0        0 eth0
10.0.11.0       195.1.92.1      255.255.255.0   UG    40     0        0 eth0
