run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260326-14:42:18-78004,runattr,,,configname,General,,
General-0-20260326-14:42:18-78004,runattr,,,datetime,20260326-14:42:18,,
General-0-20260326-14:42:18-78004,runattr,,,datetimef,20260326-144218,,
General-0-20260326-14:42:18-78004,runattr,,,experiment,General,,
General-0-20260326-14:42:18-78004,runattr,,,inifile,omnetpp.ini,,
General-0-20260326-14:42:18-78004,runattr,,,iterationvars,,,
General-0-20260326-14:42:18-78004,runattr,,,iterationvarsd,,,
General-0-20260326-14:42:18-78004,runattr,,,iterationvarsf,,,
General-0-20260326-14:42:18-78004,runattr,,,measurement,,,
General-0-20260326-14:42:18-78004,runattr,,,network,SingleTcpSender,,
General-0-20260326-14:42:18-78004,runattr,,,processid,78004,,
General-0-20260326-14:42:18-78004,runattr,,,repetition,0,,
General-0-20260326-14:42:18-78004,runattr,,,replication,#0,,
General-0-20260326-14:42:18-78004,runattr,,,resultdir,results,,
General-0-20260326-14:42:18-78004,runattr,,,runnumber,0,,
General-0-20260326-14:42:18-78004,runattr,,,seedset,0,,
General-0-20260326-14:42:18-78004,config,,,image-path,/home/user/inet/images,,
General-0-20260326-14:42:18-78004,config,,,network,SingleTcpSender,,
General-0-20260326-14:42:18-78004,config,,,sim-time-limit,10s,,
General-0-20260326-14:42:18-78004,config,,,*.configurator.config,"xml(""<config>     <interface hosts='A' address='10.0.0.1' netmask='255.255.255.0'/>     <interface hosts='B' address='10.0.1.1' netmask='255.255.255.0'/>     <interface hosts='R' address='10.0.x.x' netmask='255.255.255.0'/> </config>"")",,
General-0-20260326-14:42:18-78004,config,,,*.R.ppp[*].queue.typename,DropTailQueue,,
General-0-20260326-14:42:18-78004,config,,,*.R.ppp[*].queue.packetCapacity,6,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.tcpAlgorithmClass,"""TcpReno""",,
General-0-20260326-14:42:18-78004,config,,,**.tcp.mss,960,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.advertisedWindow,65535,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.delayedAcksEnabled,false,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.nagleEnabled,false,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.sackSupport,false,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.windowScalingSupport,false,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.timestampSupport,false,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.increasedIWEnabled,false,,
General-0-20260326-14:42:18-78004,config,,,**.tcp.limitedTransmitEnabled,false,,
General-0-20260326-14:42:18-78004,config,,,*.A.numApps,1,,
