Name	Variable	Namespace	Filename
"""NF_CLNS_ROUTE_ADDED"""	NF_CLNS_ROUTE_ADDED		common/Simsignals.cc
"""NF_CLNS_ROUTE_CHANGED"""	NF_CLNS_ROUTE_CHANGED		common/Simsignals.cc
"""NF_CLNS_ROUTE_DELETED"""	NF_CLNS_ROUTE_DELETED		common/Simsignals.cc
"""NF_INTERFACE_CONFIG_CHANGED"""	NF_INTERFACE_CONFIG_CHANGED		common/Simsignals.cc
"""NF_INTERFACE_CREATED"""	NF_INTERFACE_CREATED		common/Simsignals.cc
"""NF_INTERFACE_DELETED"""	NF_INTERFACE_DELETED		common/Simsignals.cc
"""NF_INTERFACE_GENERICNETWORKPROTOCOLCONFIG_CHANGED"""	NF_INTERFACE_GENERICNETWORKPROTOCOLCONFIG_CHANGED		common/Simsignals.cc
"""NF_INTERFACE_IPv4CONFIG_CHANGED"""	NF_INTERFACE_IPv4CONFIG_CHANGED		common/Simsignals.cc
"""NF_INTERFACE_IPv6CONFIG_CHANGED"""	NF_INTERFACE_IPv6CONFIG_CHANGED		common/Simsignals.cc
"""NF_INTERFACE_STATE_CHANGED"""	NF_INTERFACE_STATE_CHANGED		common/Simsignals.cc
"""NF_IPv4_DATA_ON_NONRPF"""	NF_IPv4_DATA_ON_NONRPF		common/Simsignals.cc
"""NF_IPv4_DATA_ON_RPF"""	NF_IPv4_DATA_ON_RPF		common/Simsignals.cc
"""NF_IPv4_DATA_ON_RPF_PIMSM"""	NF_IPv4_DATA_ON_RPF_PIMSM		common/Simsignals.cc
"""NF_IPv4_MCAST_CHANGE"""	NF_IPv4_MCAST_CHANGE		common/Simsignals.cc
"""NF_IPv4_MCAST_JOIN"""	NF_IPv4_MCAST_JOIN		common/Simsignals.cc
"""NF_IPv4_MCAST_LEAVE"""	NF_IPv4_MCAST_LEAVE		common/Simsignals.cc
"""NF_IPv4_MCAST_REGISTERED"""	NF_IPv4_MCAST_REGISTERED		common/Simsignals.cc
"""NF_IPv4_MCAST_UNREGISTERED"""	NF_IPv4_MCAST_UNREGISTERED		common/Simsignals.cc
"""NF_IPv4_MDATA_REGISTER"""	NF_IPv4_MDATA_REGISTER		common/Simsignals.cc
"""NF_IPv4_NEW_IGMP_ADDED"""	NF_IPv4_NEW_IGMP_ADDED		common/Simsignals.cc
"""NF_IPv4_NEW_IGMP_ADDED_PISM"""	NF_IPv4_NEW_IGMP_ADDED_PISM		common/Simsignals.cc
"""NF_IPv4_NEW_IGMP_REMOVED"""	NF_IPv4_NEW_IGMP_REMOVED		common/Simsignals.cc
"""NF_IPv4_NEW_IGMP_REMOVED_PIMSM"""	NF_IPv4_NEW_IGMP_REMOVED_PIMSM		common/Simsignals.cc
"""NF_IPv4_NEW_MULTICAST"""	NF_IPv4_NEW_MULTICAST		common/Simsignals.cc
"""NF_IPv4_RPF_CHANGE"""	NF_IPv4_RPF_CHANGE		common/Simsignals.cc
"""NF_IPv6_HANDOVER_OCCURRED"""	NF_IPv6_HANDOVER_OCCURRED		common/Simsignals.cc
"""NF_IPv6_MCAST_JOIN"""	NF_IPv6_MCAST_JOIN		common/Simsignals.cc
"""NF_IPv6_MCAST_LEAVE"""	NF_IPv6_MCAST_LEAVE		common/Simsignals.cc
"""NF_IPv6_MCAST_REGISTERED"""	NF_IPv6_MCAST_REGISTERED		common/Simsignals.cc
"""NF_IPv6_MCAST_UNREGISTERED"""	NF_IPv6_MCAST_UNREGISTERED		common/Simsignals.cc
"""NF_ISIS_ADJ_CHANGED"""	NF_ISIS_ADJ_CHANGED		common/Simsignals.cc
"""NF_L2_AP_ASSOCIATED"""	NF_L2_AP_ASSOCIATED		common/Simsignals.cc
"""NF_L2_AP_DISASSOCIATED"""	NF_L2_AP_DISASSOCIATED		common/Simsignals.cc
"""NF_L2_ASSOCIATED"""	NF_L2_ASSOCIATED		common/Simsignals.cc
"""NF_L2_ASSOCIATED_NEWAP"""	NF_L2_ASSOCIATED_NEWAP		common/Simsignals.cc
"""NF_L2_ASSOCIATED_OLDAP"""	NF_L2_ASSOCIATED_OLDAP		common/Simsignals.cc
"""NF_L2_BEACON_LOST"""	NF_L2_BEACON_LOST		common/Simsignals.cc
"""NF_L2_DISASSOCIATED"""	NF_L2_DISASSOCIATED		common/Simsignals.cc
"""NF_L2_Q_DROP"""	NF_L2_Q_DROP		common/Simsignals.cc
"""NF_LINK_FULL_PROMISCUOUS"""	NF_LINK_FULL_PROMISCUOUS		common/Simsignals.cc
"""NF_LINK_PROMISCUOUS"""	NF_LINK_PROMISCUOUS		common/Simsignals.cc
"""NF_MAC_BECAME_IDLE"""	NF_MAC_BECAME_IDLE		common/Simsignals.cc
